{\rtf1\ansi\ansicpg1252\cocoartf1671\cocoasubrtf400
{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\paperw11900\paperh16840\margl1440\margr1440\vieww28600\viewh15460\viewkind0
\pard\tx566\tx1133\tx1700\tx2267\tx2834\tx3401\tx3968\tx4535\tx5102\tx5669\tx6236\tx6803\pardirnatural\partightenfactor0

\f0\fs24 \cf0 PRICE , ROOMS, SIZE, ADDRESS, NUMBER , LAT, LON
\pard\pardeftab720\partightenfactor0
\cf0 675,1,19,Waldaustrasse,5,47.420069,9.353219
530,1,18,Waldaustrasse,5,47.420069,9.353219
675,1,19,Waldaustrasse,5,47.420069,9.353219
699,1,32,Schoenaustrasse,73,47.417447,9.348301
750,1.5,41,Schoenaustrasse,79,47.416894,9.348158
750,1,33,Rosenheimstrasse,3,47.433777,9.384701
750,1,00,Metzgergasse,29,47.427175,9.374819
780,1,28,Seitzstrasse,1,47.418721,9.362106
790,1,27,MuellerFriedbergStrasse,22,47.42946,9.376157
850,1,29,MuellerFriedbergStrasse,22,47.42946,9.376157
870,2,29,Waldaustrasse,5,47.420069,9.353219
880,1,27,Wildeggstrasse,16,47.423188,9.382447
910,1,22,Torstrasse,22,47.428157,9.377695
920,2,00,Falkensteinstrasse,16,47.430121,9.393145
940,1.5,30,Wildeggstrasse,16,47.423188,9.382447
950,2,30,Waldaustrasse,5,47.420069,9.353219
985,2,45,Helvetiastrasse,41,47.433239,9.39497
990,2.5,45,Speicherstrasse,17,47.4246,9.383593
1020,2.5,00,Teufenerstrasse,88,47.415693,9.365085
1050,2.5,00,Teufenerstrasse,88,47.415693,9.365085
1070,2.5,00,Teufenerstrasse,121,47.413538,9.363788
1080,1.5,00,Tellstrasse,26,47.42408,9.366442
1085,3,00,Linsebuehlstrasse,23,47.424605,9.381659
1090,2.5,50,Speicherstrasse,17,47.4246,9.383593
1090,2.5,00,Teufenerstrasse,88,47.415693,9.365085
1095,2,57,Bedastrasse,4,47.428217,9.390251
1100,4,00,Oberstrasse,208,47.41228,9.349587
1100,2.5,00,Falkensteinstrasse,16,47.430121,9.393145
1100,2.5,00,Schillerstrasse,1,47.417738,9.358105
1100,2.5,00,Teufenerstrasse,121,47.413538,9.363788
1110,3,00,Teufenerstrasse,121,47.413538,9.363788
1110,2.5,00,Teufenerstrasse,88,47.415693,9.365085
1120,2.5,50,Schorenstrasse,15,47.424392,9.358122
1140,3,00,Teufenerstrasse,121,47.413538,9.363788
1140,3,00,Teufenerstrasse,121,47.413538,9.363788
1180,3,60,Badstrasse,8,47.419061,9.352903
1190,4,78,Ruhbergstrasse,9,47.416469,9.363324
1190,3.5,00,Zuercherstrasse,106,47.416273,9.34586
1190,3,00,Zschokkestrasse,18,47.416141,9.357639
1190,2.5,36,Buchentalstrasse,5,47.433467,9.398296
1194,3,57,Rosenbergweg,22,47.422198,9.361821
1195,3,60,Treuackerstrasse,16,47.416016,9.364497
1230,3.5,68,Davidstrasse,17,47.420634,9.370381
1250,3.5,73,Helvetiastrasse,41,47.433239,9.39497
1260,3.5,74,Linsebuehlstrasse,99,47.42604,9.385328
1260,3.5,65,Kamorstrasse,6,47.4193825,9.3532699
1270,3.5,74,Helvetiastrasse,41,47.4332152,9.3949872
1290,4,76,Flurhofstrasse,105,47.4309169,9.4015451
1290,3.5,73,Helvetiastrasse,41,47.4332152,9.3949872
1290,3.5,55,Otmarstrasse,21,47.4168949,9.3589707
1290,1,8,Ilgenstrasse,15,47.4170279,9.3593461
1290,3,55,Dreilindenhang,14,47.4230335,9.3842983
1290,2.5,64,Teufenerstrasse,95,47.418934,9.369392
1290,2.5,50,Teufenerstrasse,95,47.418934,9.369392
1290,3,85,Ruhbergstrasse,51,47.4152829,9.3639457
1295,4,87,Oststrasse,23,47.4317114,9.3938906
1295,2.5,62,Wartensteinstrasse,2,47.43388,9.37891
1300,3,55,Oberstrasse,87,47.4183722,9.3675964
1315,4,68,Dreilindenhang,8,47.4227359,9.383668
1330,3,71,Rosenbergweg,22,47.4219574,9.36418
1350,3.5,69,Kamorstrasse,6,47.4193825,9.3532699
1350,3.5,68,Ruhbergstrasse,50,47.4149319,9.3636524
1350,2.5,70,Teufenerstrasse,95,47.418934,9.369392
1370,4,89,Neptunstrasse,3,47.4302922,9.3934449
1370,4,83,Stahlstrasse,5,47.4212917,9.3561059
1390,4,77,St Georgenstrasse,39,47.4195573,9.3790065
1390,3,70,Goliathgasse,12,47.4270345,9.3763952
1395,2.5,75,Lindenstrasse,52,47.43246,9.39084
1400,1.5,58,Werkstrasse,3,47.4331621,9.3939818
